,Date Local,NO2 Mean
391,2015-04-30,8.590475999999999
392,2015-05-01,7.6375
393,2015-05-02,13.704167000000002
394,2015-05-03,13.8125
395,2015-05-04,18.63
396,2015-05-05,16.979167
397,2015-05-06,16.341667
398,2015-05-07,17.5875
399,2015-05-08,20.358333
400,2015-05-09,16.470833
401,2015-05-10,14.954167000000002
402,2015-05-11,11.541667
403,2015-05-12,4.554167
404,2015-05-13,9.216667
405,2015-05-14,15.883333
406,2015-05-15,7.045833
407,2015-05-16,5.354167
408,2015-05-17,4.729167
409,2015-05-18,7.41
410,2015-05-19,9.841667
411,2015-05-20,9.1875
412,2015-05-21,2.471429
413,2015-05-22,7.033333
414,2015-05-23,10.225
415,2015-05-24,4.966667
416,2015-05-25,4.529167
417,2015-05-26,5.841667
418,2015-05-27,5.579167
419,2015-05-28,13.244444
420,2015-06-01,11.4
421,2015-06-03,4.246667
422,2015-06-04,8.566667
423,2015-06-05,11.679167
424,2015-06-06,9.854167
425,2015-06-07,11.666667
426,2015-06-08,5.133333
427,2015-06-09,5.9375
428,2015-06-10,12.320833
429,2015-06-11,12.145833
430,2015-06-12,5.309524
431,2015-06-13,4.879167
432,2015-06-14,7.7
433,2015-06-15,12.640909
434,2015-06-16,10.291667
435,2015-06-17,12.208333
436,2015-06-18,8.008333
437,2015-06-19,4.57619
438,2015-06-20,4.3958330000000005
439,2015-06-21,5.620833
440,2015-06-22,8.4375
441,2015-06-23,9.020833
442,2015-06-24,4.929167
443,2015-06-25,14.275
444,2015-06-26,10.254167
445,2015-06-27,3.729167
446,2015-06-28,5.25
447,2015-06-29,9.686364
448,2015-06-30,8.125
449,2015-07-01,8.178947
450,2015-07-02,5.375
451,2015-07-03,5.5375
452,2015-07-04,3.8625
453,2015-07-05,2.916667
454,2015-07-06,5.566667
455,2015-07-07,8.220833
456,2015-07-08,7.8625
457,2015-07-09,9.883333
458,2015-07-10,12.425
459,2015-07-11,10.291667
460,2015-07-12,8.020833
461,2015-07-13,7.872727
462,2015-07-14,5.154167
463,2015-07-15,11.975
464,2015-07-16,9.289474
465,2015-07-17,13.335294
466,2015-07-18,14.0125
467,2015-07-19,8.883333
468,2015-07-20,6.670833
469,2015-07-21,7.966667
470,2015-07-22,12.016667
471,2015-07-23,13.508333
472,2015-07-24,10.404167
473,2015-07-25,8.283333
474,2015-07-26,8.6125
